"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample","n_markers_total.x","n_markers_tested.x","n_markers_pass.x","mean_median_difference.x","max_pf_overlap.x","sample_adt_status","n_markers_total.y","n_markers_tested.y","n_markers_pass.y","mean_median_difference.y","max_pf_overlap.y","lineage_adt_status","extreme_high_PLA","trusted_pair","final_pair_status"
"GSM8571072_Res-S183","DCs",90,74,16,0.822222222222222,8581.5,1559,3.24344941937614,0.73056107955296,0.887502628416696,0.156941548863737,FALSE,FALSE,FALSE,3,3,2,1.07174654229526,0.342062852538276,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571054_Abd-S9","DCs",16,13,3,0.8125,10883,1653.5,1.81593991704966,0.569911190380259,0.934084009285719,0.36417281890546,FALSE,FALSE,FALSE,3,3,2,0.839651867903953,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571052_Abd-S80","DCs",19,15,4,0.789473684210526,8908,3294,2.90113172861493,0.566657215561858,0.914923233670837,0.348266018108979,FALSE,FALSE,FALSE,3,3,2,1.01561616858739,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571052_Abd-S80","Monocytes",425,333,92,0.783529411764706,7192,1251,3.09278350515464,0.741928315285501,0.820050931456979,0.0781226161714783,TRUE,TRUE,TRUE,3,3,2,1.01561616858739,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571043_Abd-S23","Monocytes",97,76,21,0.783505154639175,5990,1210,3.30626450116009,0.691598378253373,0.853812216190677,0.162213837937304,FALSE,TRUE,FALSE,3,3,1,0.590311540509736,1,"ADT_suspicious",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571059_IC08","DCs",68,53,15,0.779411764705882,5646.5,2505.5,2.10230160315105,0.667432612288507,0.861509876126748,0.194077263838241,FALSE,FALSE,FALSE,3,3,2,1.03222291408727,0.562849162011173,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571067_Res-S146","DCs",45,35,10,0.777777777777778,7491,905,2.28819262693487,0.637307078252437,0.874553144673736,0.237246066421299,FALSE,FALSE,FALSE,3,3,2,0.790029875132853,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571055_Abd-S91","Monocytes",172,133,39,0.773255813953488,7431.5,1031.5,2.81618972429734,0.705109471109086,0.829462981999666,0.124353510890579,TRUE,TRUE,TRUE,3,3,2,0.741802568254908,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571042_Abd-S111","DCs",32,24,8,0.75,8222.5,3107,2.09818848689558,0.578934410057555,0.86747599081491,0.288541580757354,FALSE,FALSE,FALSE,3,3,2,1.02484459912223,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571061_IC10","DCs",35,26,9,0.742857142857143,4490,1779,2.06869633099141,0.579306931561608,0.858369729309396,0.279062797747787,FALSE,FALSE,FALSE,3,3,2,1.66424806187074,0.431677600749766,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
