"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"Naive-B-cells","B naive lambda",0,50,26,1922,1.39825421257291,1998,0.961961961961962,0.487322514965861,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","CD14 Mono",2,0,0,0,0.525756795816658,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","Doublet",1,0,0,0,1.9043455642036,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","Eryth",0,0,0,1,1.36579975119209,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","NK Proliferating",0,0,0,1,-1.09513609799303,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","NK_1",0,0,0,18,-0.854476223040876,18,1,0.499999972222224,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","NK_2",0,0,0,2,-1.08628480574015,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","NK_3",0,0,0,2,-0.957802766631855,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","NK_4",0,1,0,1,-0.450374777946892,2,0.5,0.249999875000062,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","Plasma",0,0,1,2,-0.853385178336094,3,0.666666666666667,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","Plasmablast",0,0,0,2,-0.800415726260231,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","Platelet",0,0,4,1,1.24232422426433,5,0.2,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","cDC2_2",1,0,0,0,1.38958759912172,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","gdT_4",0,0,0,1,-1.1324774871849,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
