"contrast","sender","receiver","ligand","receptor","lfc_ligand","lfc_receptor","ligand_receptor_lfc_avg","p_val_ligand","p_adj_ligand","p_val_receptor","p_adj_receptor"
"PLA-platelet.free","Monocytes","B.cells","HP","ASGR1",1.04,5.02,3.03,3.16e-13,7.69e-11,1.04e-20,1.27e-18
"PLA-platelet.free","B.cells","Monocytes","S100A9","CD36",5.62,0.433,3.0265,2.81e-25,1.7e-22,2.09e-08,9.58e-07
"PLA-platelet.free","B.cells","NK.cells","S100A9","TLR4",5.62,0.408,3.014,2.81e-25,1.7e-22,0.0854,0.303
"PLA-platelet.free","NK.cells","CD4.T.cells","NRG1","ITGB3",0.987,5.04,3.0135,0.00025,0.00669,3.08e-24,1.24e-21
"PLA-platelet.free","B.cells","B.cells","CD9","CD36",1.2,4.82,3.01,7.16e-05,0.000347,2.7e-22,5.63e-20
"PLA-platelet.free","B.cells","Monocytes","S100A8","CD36",5.58,0.433,3.0065,6.43e-25,2.91e-22,2.09e-08,9.58e-07
"PLA-platelet.free","B.cells","B.cells","FURIN","LRP1",0.882,5.12,3.001,0.00465,0.0131,1.83e-24,6.92e-22
"PLA-platelet.free","B.cells","CD4.T.cells","PF4V1","CXCR3",5.39,0.602,2.996,4.22e-17,2.11e-15,5.16e-09,4.28e-08
"PLA-platelet.free","B.cells","NK.cells","S100A8","TLR4",5.58,0.408,2.994,6.43e-25,2.91e-22,0.0854,0.303
"PLA-platelet.free","CD4.T.cells","NK.cells","S100A8","CD36",5.1,0.888,2.994,1.58e-18,9.59e-17,0.000308,0.00752
"PLA-platelet.free","CD4.T.cells","B.cells","VCAN","SELPLG",4.38,1.6,2.99,2.3e-20,2.57e-18,3.3e-13,8.17e-12
"PLA-platelet.free","B.cells","CD8.T.cells","PF4V1","CXCR3",5.39,0.588,2.989,4.22e-17,2.11e-15,1.08e-10,8.22e-09
"PLA-platelet.free","B.cells","B.cells","APP","LRP1",0.854,5.12,2.987,3.49e-06,2.29e-05,1.83e-24,6.92e-22
"PLA-platelet.free","B.cells","Monocytes","S100A12","CD36",5.54,0.433,2.9865,4.25e-26,4.27e-23,2.09e-08,9.58e-07
"PLA-platelet.free","CD4.T.cells","NK.cells","S100A12","CD36",5.08,0.888,2.984,5.24e-22,1.36e-19,0.000308,0.00752
"PLA-platelet.free","B.cells","NK.cells","HP","ASGR2",4.93,1.03,2.98,8.63e-15,2.9e-13,2.66e-05,0.00138
"PLA-platelet.free","NK.cells","B.cells","THBS1","CD36",1.14,4.82,2.98,2.36e-07,3.81e-05,2.7e-22,5.63e-20
