"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode"
"Monocytes","cDC1",13,0,5,0,2.31043485834459,18,0.722222222222222,0.361111091049384,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","cDC2_1",366,0,1,0,2.01033956887762,367,0.997275204359673,0.498637600821151,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","cDC2_2",1159,1,8,0,2.23213228944082,1168,0.992294520547945,0.49657240745795,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","dnT_2",0,0,1,0,-0.346564451294679,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","pDC",4,0,2,0,4.79221537689013,6,0.666666666666667,0.333333277777787,"vaccine","AUCell","gmm_dist_dual"
"NK-cells","NK_1",0,0,0,1,-1.04230014704663,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","B intermediate kappa",0,7,0,294,1.37676846798971,302,0.973509933774834,0.488372091400757,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","B intermediate lambda",0,25,0,397,1.32858441451095,423,0.938534278959811,0.470379145804789,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","B memory kappa",0,2,0,334,1.17014351326193,338,0.988165680473373,0.497023808044572,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","B memory lambda",0,3,0,208,1.14190028967487,212,0.981132075471698,0.492890992924687,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","B naive kappa",0,82,0,3063,1.339357418218,3159,0.969610636277303,0.48696343386742,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","B naive lambda",0,46,0,1939,1.36746790520391,1998,0.970470470470471,0.488413097990724,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","CD14 Mono",0,2,0,0,0.331289072702169,2,0,0,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","Doublet",0,1,0,0,1.90015160801672,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","Eryth",0,0,0,1,1.31886181149744,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","NK Proliferating",0,0,0,1,-0.95002814079029,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","NK_1",0,0,0,17,-0.819475040924871,18,0.944444444444444,0.499999970588237,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","NK_2",0,0,0,2,-0.977328256336417,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","NK_3",0,0,0,2,-0.753801109397604,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","NK_4",0,1,0,1,-0.344299376205699,2,0.5,0.249999875000062,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","Plasma",0,0,0,3,-0.508775618193209,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","Plasmablast",0,0,0,2,-0.435379237678367,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","Platelet",0,0,0,5,1.93152885872301,5,1,0.49999990000002,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","cDC2_2",0,1,0,0,1.64002561621912,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Naive-B-cells","gdT_4",0,0,0,1,-1.20586241136666,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Neutrophils","CD14 Mono",112,57,29,15,0.148825996483241,213,0.596244131455399,0.501329782970524,"vaccine","AUCell","gmm_dist_dual"
"Neutrophils","Doublet",2,0,0,0,0.454676057812394,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Neutrophils","HSPC",0,0,0,1,-0.769298991585362,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Neutrophils","NK_1",0,0,0,1,-0.879214740640074,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Neutrophils","NK_2",0,0,0,2,-1.13814858765399,3,0.666666666666667,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Neutrophils","NK_3",0,0,0,1,-0.910687362929059,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Neutrophils","Platelet",2,0,2,0,2.08417107682458,5,0.4,0.249999937500016,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","CD14 Mono",2,2,2,0,0.605283682149834,6,0.333333333333333,0.249999937500016,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","CD16 Mono",990,150,30,8,0.487270591567576,1178,0.847198641765705,0.510610572707252,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","Doublet",47,0,0,0,0.856832149954259,47,1,0.499999989361702,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","NK Proliferating",0,0,0,1,-0.620757751539623,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","NK_1",0,0,0,2,-0.976970612901315,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","NK_2",0,0,1,18,-0.692813492043351,19,0.947368421052632,0.499999972222224,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","NK_4",0,0,0,2,-0.774544428633526,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","Platelet",1,0,1,0,2.60077509738173,2,0.5,0.249999875000062,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","cDC2_1",4,1,0,0,1.91817683714586,5,0.8,0.499999875000031,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","cDC2_2",10,2,0,0,2.47250031865845,12,0.833333333333333,0.499999950000005,"vaccine","AUCell","gmm_dist_dual"
"Non-classical-Monocytes","pDC",1,1,0,0,3.52230301516148,2,0.5,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"T-cells-CD4","ASDC_mDC",0,0,0,1,2.12141367986655,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"T-cells-CD4","ASDC_pDC",0,3,0,2,3.56538712764345,5,0.4,0.199999960000008,"vaccine","AUCell","gmm_dist_dual"
"T-cells-CD4","CD14 Mono",2,9,0,2,0.516603394151996,13,0.307692307692308,0.590908832644754,"vaccine","AUCell","gmm_dist_dual"
"T-cells-CD4","CD16 Mono",0,7,0,0,0.256933299480466,7,0,0,"vaccine","AUCell","gmm_dist_dual"
"T-cells-CD4","CD4 CTL",1,22,40,1380,-0.659221768575123,1450,0.952413793103448,0.504349186923282,"vaccine","AUCell","gmm_dist_dual"
"T-cells-CD4","CD4 Naive",0,9,20,16926,-0.622102313773092,16965,0.997701149425287,0.499734278092723,"vaccine","AUCell","gmm_dist_dual"
"T-cells-CD4","CD4 Proliferating",0,0,9,41,-0.745089282132296,52,0.788461538461538,0.499999987804878,"vaccine","AUCell","gmm_dist_dual"
"T-cells-CD4","CD4 TCM_1",0,2,10,7664,-0.63753292284438,7684,0.997397188964081,0.499869553809044,"vaccine","AUCell","gmm_dist_dual"
"T-cells-CD4","CD4 TCM_2",0,0,23,504,-0.767990111263325,529,0.952741020793951,0.499999999007937,"vaccine","AUCell","gmm_dist_dual"
