"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample"
"D528","B cells",733,0,733,0,3759,783,1.99552026063938,0,0.00521341297331767,0.00521341297331767,TRUE,TRUE,TRUE
"D528","CD8 T cells",144,0,144,0,6689,732.5,1.85566787060466,0,0.0259836371430367,0.0259836371430367,TRUE,TRUE,TRUE
"D528","DCs",76,0,76,0,6552.5,1967.5,2.27328504013492,0,0.0481135850651373,0.0481135850651373,TRUE,TRUE,TRUE
"D528","NK cells",416,0,416,0,3831,885,3.13050097675395,0,0.00914978437690389,0.00914978437690389,TRUE,TRUE,TRUE
"D529","B cells",32,0,32,0,2702.5,1056.5,3.62021441377712,0,0.107179198255071,0.107179198255071,TRUE,TRUE,TRUE
"D529","CD8 T cells",573,0,573,0,4140,733,2.95320308950477,0,0.00665947074703624,0.00665947074703624,TRUE,TRUE,TRUE
"D529","DCs",2,0,2,0,2220.5,3127,3.78068494974606,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"D533","B cells",2,0,2,0,2999,1007.5,2.35842658433984,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"D533","CD4 T cells",303,0,303,0,5164,750,2.33020231213873,0,0.012519360439291,0.012519360439291,TRUE,TRUE,TRUE
"D533","CD8 T cells",84,0,84,0,3276.5,816,3.35813095234518,0,0.0437317284146599,0.0437317284146599,TRUE,TRUE,TRUE
"D533","DCs",2,0,2,0,2359.5,1802,3.15035426664186,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"D533","Neutrophils",16,0,16,0,3047,1535,3.92972696964295,0,0.193607680534436,0.193607680534436,FALSE,FALSE,FALSE
"D534","B cells",17,0,17,0,3740,1343,3.47593582887701,1.38777878078145e-17,0.184318135008852,0.184318135008852,FALSE,FALSE,FALSE
"D534","CD8 T cells",1779,0,1779,0,3531,714,3.70774263904035,0,0.00215468335767509,0.00215468335767509,TRUE,TRUE,TRUE
"D534","DCs",2,0,2,0,4161.5,2110,4.52794696565238,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"D534","Neutrophils",1,0,1,0,4527,1668,4.41793682350342,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"D543","CD8 T cells",196,0,196,0,3683.5,1273.5,3.01595023914112,0,0.0192225319178681,0.0192225319178681,TRUE,TRUE,TRUE
"D543","DCs",7,0,7,0,5002,2156,4.41235459286001,0,0.354330435066687,0.354330435066687,FALSE,FALSE,FALSE
"D564","B cells",47,0,47,0,2807,1682,2.91070547607301,6.93889390390723e-18,0.0755576041639963,0.0755576041639963,TRUE,TRUE,TRUE
"D564","CD4 T cells",519,0,519,0,5447,1505,2.39867659222498,0,0.00734727278391198,0.00734727278391198,TRUE,TRUE,TRUE
"D564","CD8 T cells",48,0,48,0,4944.5,1480.5,3.31937194453098,0,0.0741001296661175,0.0741001296661175,TRUE,TRUE,TRUE
"D564","DCs",1,0,1,0,2290,1982,4.89082969432314,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"D570","B cells",56,0,56,0,2515,769.5,3.7125362930583,0,0.0641939367187634,0.0641939367187634,TRUE,TRUE,TRUE
"D570","CD4 T cells",357,0,357,0,4613,685,2.46933248367054,0,0.010645835523581,0.010645835523581,TRUE,TRUE,TRUE
"D570","NK cells",145,0,145,0,2747,762,4.34782608695652,0,0.0258090645652824,0.0258090645652824,TRUE,TRUE,TRUE
