"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample","n_markers_total.x","n_markers_tested.x","n_markers_pass.x","mean_median_difference.x","max_pf_overlap.x","sample_adt_status","n_markers_total.y","n_markers_tested.y","n_markers_pass.y","mean_median_difference.y","max_pf_overlap.y","lineage_adt_status","extreme_high_PLA","trusted_pair","final_pair_status"
"sample4","DCs",212,0,212,0,14072.5,5209,6.10269278784291,0,0.017797594779441,0.017797594779441,TRUE,TRUE,TRUE,5,5,1,0.872463617735655,1,"ADT_suspicious",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"lineage_ADT_not_testable"
"sample4","NK cells",34,0,34,0,4729,893,6.69235202168601,6.93889390390723e-18,0.101514554153324,0.101514554153324,TRUE,TRUE,TRUE,5,5,1,0.872463617735655,1,"ADT_suspicious",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"lineage_ADT_not_testable"
"sample4","CD8 T cells",11,0,11,0,5379,1042,5.74758048587794,0,0.258832966968032,0.258832966968032,FALSE,FALSE,FALSE,5,5,1,0.872463617735655,1,"ADT_suspicious",NA,NA,NA,NA,NA,NA,FALSE,FALSE,"frequency_QC_fail"
"sample41","B cells",14,0,14,0,4618,468,4.98508149228705,0,0.215310802737636,0.215310802737636,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample41","DCs",37,0,37,0,7884,3116,6.0300136425648,0,0.0940578258372025,0.0940578258372025,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample41","NK cells",13,0,13,0,5370,495,6.95195672923958,0,0.228095372354198,0.228095372354198,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample41","CD4 T cells",16,0,16,0,3818.5,4634.5,5.58946233987473,0,0.193607680534436,0.193607680534436,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",NA,NA,NA,NA,NA,NA,FALSE,FALSE,"frequency_QC_fail"
"sample41","Macrophages",352,0,352,0,6370.5,2184.5,6.04352658705842,0,0.0107954223024637,0.0107954223024637,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_not_testable"
"sample41","Neutrophils",328,0,328,0,2426.5,1146.5,4.06988181045589,0,0.0115761871176254,0.0115761871176254,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"sample_ADT_not_testable"
"sample42","B cells",46,0,46,0,4814,243,6.15765659076158,0,0.0770735630855803,0.0770735630855803,TRUE,TRUE,TRUE,5,5,0,0.495192189605585,1,"ADT_suspicious",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"lineage_ADT_not_testable"
"sample42","DCs",111,0,111,0,9837,1179,5.68685376661743,0,0.0334501046933923,0.0334501046933923,TRUE,TRUE,TRUE,5,5,0,0.495192189605585,1,"ADT_suspicious",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"lineage_ADT_not_testable"
"sample42","NK cells",8,0,8,0,4930,455,5.08002207505519,0,0.32440756488388,0.32440756488388,FALSE,FALSE,FALSE,5,5,0,0.495192189605585,1,"ADT_suspicious",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample5","B cells",4,0,4,0,6617.5,466.5,6.9106077070031,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample5","DCs",71,0,71,0,10414,2198,6.69204568222801,3.46944695195361e-18,0.0513279521968903,0.0513279521968903,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample5","NK cells",3,0,3,0,5508,553,5.73710965867829,0,0.561497031755045,0.561497031755045,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
