"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Monocytes","NK cells","ADAM15","ITGB1",0.315669727221695,2916.8,0.0412733999045677,3058,0.112177462257126,3094,0.190278976761577,2579,0.823202437178293,4009,0,1844
"B cells","B cells","HLA-DRA","CD4",0.316063625010471,2017.6,0.0318314149839563,4010,0.395064415980395,1026,0.832290074994357,537,0.872608321090417,2671,0,1844
"B cells","Monocytes","HSPA4","TLR4",0.316114477922504,2534.2,0.0630927030533849,1564,0.164591062686796,2547,0.452581741404398,1381,0.761909369568296,5335,0,1844
"Monocytes","B cells","RETN","TLR4",0.316852600216782,2081.6,0.070281328255237,1257,0.133400711128179,2888,0.955476180790654,407,0.823109918314168,4012,0,1844
"DCs","Monocytes","HLA-B","LILRA1",0.316852600216782,2655.2,0.0545840520010784,2055,0.0273707961757575,4012,0.220377142009012,2408,0.928860072737951,842,0.089,3959
"DCs","DCs","RNASE2","TLR2",0.31745179515134,2499.8,0.0818079735647253,859,0.168007450996758,2521,0.19523585244437,2550,0.793836258075615,4725,0,1844
"CD8 T cells","CD4 T cells","HLA-DRB5","CD4",0.317643150223316,3044.8,0.0372508534335188,3425,0.115604185102699,3061,-0.0149771371785792,4014,0.866237974126197,2880,0,1844
"NK cells","CD4 T cells","LGALS1","PTPRC",0.317643150223316,3110.2,0.0317879019868909,4014,0.0560380198028747,3711,0.0294947033431265,3690,0.953086054360488,253,0.032,3883
"B cells","CD4 T cells","IL16","CD4",0.319228984064641,2850.6,0.0402770222223958,3155,0.143620468876108,2766,0.210269814363127,2470,0.822788604153778,4018,0,1844
"Monocytes","B cells","LGALS1","PTPRC",0.319228984064641,2267.8,0.0317656462091433,4018,0.0696477791822795,3567,0.375559226742063,1656,0.953070393847819,254,0,1844
"DCs","Monocytes","ADAM10","IL6R",0.319240822963765,2434.6,0.0612351780055184,1660,0.163905925550967,2554,0.289858215752778,2046,0.820644751150111,4069,0,1844
"DCs","Monocytes","TGS1","RXRA",0.31968914146426,2793,0.04843629975001,2485,0.163877135316912,2555,0.441086346702729,1418,0.739262287266179,5663,0,1844
"B cells","DCs","PSAP","LRP1",0.320024272619097,2830,0.0542813545682607,2081,0.087407885438412,3365,-0.00262851486706672,3918,0.931551644356788,766,0.166,4020
"Monocytes","Monocytes","HLA-DQB1","CD4",0.320422510838358,2988.2,0.0317131691777402,4021,0.0911617065147988,3331,0.323976158114544,1889,0.829490334504723,3856,0,1844
"CD4 T cells","DCs","PTPN6","CLEC12A",0.320821145413114,3402.3,0.0409816382153811,3078,0.0416198530338387,3860,-0.0160504861964506,4022,0.888106200030963,2216,0.014,3835.5
"B cells","CD8 T cells","HSPA8","ADRB2",0.320821145413114,3269.4,0.0405780628677764,3113,0.142018294597948,2780,0.0498691230903978,3532,0.865492154776906,2900,0.169,4022
"Monocytes","NK cells","CD99","CD81",0.32122017663915,2585.2,0.0316937069166049,4023,0.180927373231799,2410,0.0248594859477279,3720,0.92563483500687,929,0,1844
"B cells","Monocytes","TIMP1","CD63",0.321619604812402,3058.4,0.0347125175927466,3650,0.0371558708362285,3899,0.183037273314687,2629,0.919432980885667,1090,0.174,4024
"DCs","Monocytes","ICAM2","ITGAL_ITGB2",0.321619604812402,2776,0.031687664369934,4024,0.123486863333162,2977,0.153545203776859,2800,0.887502054056822,2235,0,1844
"Monocytes","CD4 T cells","F13A1","ITGA4",0.322019430228953,3081.2,0.0316856366002702,4025,0.0755217138763647,3499,0.233424367813297,2326,0.835654101757895,3712,0,1844
"CD8 T cells","Monocytes","HLA-DRB5","CD4",0.323622710254927,3317,0.0316245033333728,4029,0.0513191727345157,3763,0.0147998928907594,3782,0.856463957666141,3167,0,1844
