"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Monocytes","CD4 T cells","VCAN","SELL",0.00392848140681104,644.6,0.114534723050418,602,1.37749798020812,166,1.80511180816307,124,0.949100152411933,454,0,1877
"DCs","Monocytes","CD14","ITGB2",0.00393489237949205,610.2,0.100357560924497,770,1.65641871942119,71,1.90136219701294,103,0.959565875028116,230,0,1877
"DCs","DCs","S100A9","TLR4",0.00393747422120958,594.8,0.156146678640529,278,1.87090271462255,47,2.39012824702238,38,0.936692107720215,734,0,1877
"Monocytes","Monocytes","CD1D","LILRB2",0.00398526547840231,897,0.207704882432188,101,1.77861317995847,54,1.50274395471205,231,0.889544361329232,2222,0,1877
"Monocytes","NK cells","CD14","ITGB2",0.00398526547840231,605.2,0.10015143291251,776,1.69431164377004,64,2.03338922401203,78,0.959525969657902,231,0,1877
"DCs","CD4 T cells","VCAN","SELL",0.00403123045423453,645,0.114287816152319,606,1.37456197801124,172,1.85553933897849,114,0.949048000098071,456,0,1877
"CD8 T cells","Monocytes","CD99","PILRA",0.00408334024936547,734.8,0.117925371797247,571,1.33519646620475,190,1.21294621075559,428,0.941769857073144,608,0,1877
"Monocytes","DCs","S100A8","TLR4",0.00410523719613352,588,0.160616559313624,257,1.90136141700649,39,2.27075800448757,48,0.937394156060222,719,0,1877
"Monocytes","DCs","GRN","TNFRSF1B",0.00413594415712516,627.2,0.113975610544818,610,1.63629439109819,76,1.92342174324915,99,0.948203474579207,474,0,1877
"NK cells","CD8 T cells","HLA-F","CD8A",0.00418904513476407,674.2,0.180201831356246,164,1.01484512001687,517,1.55655448939,201,0.941650906450304,612,0,1877
"CD8 T cells","CD8 T cells","HLA-F","CD8A",0.00429675016250061,686.4,0.179104053366039,166,1.01084533392931,523,1.48112751571644,250,0.941482808791912,616,0,1877
"DCs","CD8 T cells","S100A8","ITGB2",0.00434966155033668,821.8,0.0612088551950731,1913,1.26688885301263,238,2.21656672921406,54,0.969753306994955,27,0,1877
"B cells","B cells","FCER2","CR2",0.00476099755965879,1309.8,0.799145493303191,1,0.999718265292896,538,1.33404682295913,348,0.817106756984683,3785,0,1877
"NK cells","Monocytes","HLA-C","LILRB2",0.00484910133910755,653.8,0.0941448558409797,871,1.43442639096658,140,1.48969124016286,247,0.96331477456448,134,0,1877
"Monocytes","DCs","S100A12","TLR4",0.0049067859308575,800.6,0.162657865791899,248,1.66332276750886,70,1.82515715637378,117,0.907893920632541,1691,0,1877
"NK cells","CD8 T cells","HLA-F","CD8B",0.00495606850853078,657.4,0.193357310785969,123,1.03393351014036,493,1.6586470544153,155,0.940681178995666,639,0,1877
"NK cells","Monocytes","CD99","PILRA",0.00498632320711406,747.2,0.113003773153791,618,1.29731962177997,215,1.27394088209324,386,0.940589867515639,640,0,1877
"CD8 T cells","CD8 T cells","HLA-F","CD8B",0.00510870140437381,667.4,0.192179390459472,126,1.02993372405281,500,1.58322008074174,190,0.940510464146691,644,0,1877
"Monocytes","DCs","RETN","TLR4",0.00520189653641819,975.2,0.212399178798088,89,1.7179080622896,61,1.47746378172306,253,0.874580091697689,2596,0,1877
